id;nom;nom_officiel;type;statut;commune;adresse;telephone;email;site_web;formation;filiere;diplomes;date_creation;description;capacite;photo;source;latitude;longitude;createdAt;updatedAt;createdBy;updatedBy;dataStatus;isDeleted
"1";"AMRA (Académie des Métiers de la Restauration et de l’Agroalimentaire)";"AMRA (Académie des Métiers de la Restauration et de l’Agroalimentaire)";"1";"1";"BAMBILOR";"";"765832727";"amra.academie@gmail.com";"Pas encore disponible";"1";"Service restaurant, Hygiène et sécurité, Agroalimentaire, Patisserie, Cuisine, Nutrition";"CAP ; BEP ; CPS ; Attestation";"";"";"";"DCIM/JPEG_20260203094118159.jpg";"Fusion_final";"14.795284458773649";"-17.194993365231273";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"10";"Institut Africain de Commerce et de marketing";"Institut Africain de Commerce et de marketing";"1";"1";"PIKINE OUEST";"";"338786698";"mama12diop@gmail.com";"files/20260114114716031_image_0001.jpg";"1";"Comptabilité-finance ; marketing-management-communication ; gestion et administration des entreprises ; banque-assurance-finance ; commerce international-transit ; transport-logistique ; gestion des ressources humaines ; comptabilité-gestion ; marketing et actions commerciales ; informatique de gestion ; TIC";"Bts ; BT ; BEP ; CAP";"1999-07-29";"Institut Africain de Commerce et de Marketing (IACOM), établissement privé d’enseignement supérieur agréé par l’État du Sénégal.";"";"DCIM/JPEG_20260114114842151.jpg";"Fusion_final";"14.747750458758508";"-17.40409473988334";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"100";"ISI keur massar";"ISI keur massar";"";"1";"KEUR MASSAR";"";"338784349";"isikeurmawsar@groupeisi.com";"https://www.isisuptech.com/";"Formations supérieures en informatique et gestion";"Réseau informatique, cyber sécurité, infographie multimédia, marketing et communication, génie logiciel ...";"BT ; Licence ; Licence professionnelle ; Master professionnel";"";"";"";"";"Fusion_final";"14.800831711373448";"-17.324485308557357";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"101";"Elite business group";"Elite business group";"";"";"KEUR MASSAR";"";"773551056";"ebsgroupekeurmassar@gmail.com";"";"";"Informations (maintenant informatique,génie informatique) architecture de bâtiment ( dessin de plan , électrotechnique,génie civil) Santè(( délégué médicale, vendeur en pharmacie, secrétaire médicale)...";"Bts ; Cap ; Dts ; Licence professionnelle ; Master";"";"";"";"";"Fusion_final";"14.79393773095183";"-17.298303852223032";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"104";"Groupe EDICOM SN";"Groupe EDICOM SN";"";"";"RUFISQUE OUEST";"";"";"";"";"";"";"";"2000-01-03";"";"";"";"Fusion_final";"14.727175327236909";"-17.283534263013777";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"11";"Institut Supérieur d’Entrepreneurship et de Gestion (ISEG)";"Institut Supérieur d’Entrepreneurship et de Gestion (ISEG)";"";"1";"PIKINE OUEST";"";"773655178";"combaye81@gmail.com";"";"";"Comptabilité et finances";"Licence professionnelle ; Master";"2026-01-14";"";"";"DCIM/JPEG_20260114145447984.jpg";"Fusion_final";"14.748006072170176";"-17.399508134836896";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"112";"Dakar institut of technologie";"Dakar institut of technologie";"1";"1";"MERMOZ-SACRE COEUR";"";"773089292";"Info@dit.sn";"Www.dit.sn";"1";"";"Licence ; Master";"";"";"";"DCIM/centre_20260127111835296.jpg";"Fusion_final";"14.710724263888352";"-17.4663209430513";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"113";"Unipro";"Unipro";"1";"1";"MERMOZ-SACRE COEUR";"";"338252378";"uniprocomsn@gmail.com";"www.universprofessionnel.com";"1";"Commerce international , transport et logistique , comptabilité et gestion , Banquet finance et assurance";"BTS ; Licence ; Master";"";"";"";"DCIM/centre_20260127123924224.jpg";"Fusion_final";"14.707244487002338";"-17.473150275302043";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"114";"IPJI (Institut des Professions Juriduques et Immobilieres)";"IPJI (Institut des Professions Juriduques et Immobilieres)";"1";"1";"MERMOZ-SACRE COEUR";"";"338259271";"acueille@ipji-senegal.com";"Www.ipji-Sénégal.com";"1 ; CPS AI ( consierge d’immeuble), CPS ( agency immeubiliere)";"Droit immobilier , Droit notariale, Carrier judiciaire";"BTS ; Licence ; Master ; CPS";"";"";"";"DCIM/centre_20260127131920300.jpg";"Fusion_final";"14.704986306820677";"-17.474034036964905";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"115";"Sonatel académie Center";"Sonatel académie Center";"";"";"";"";"+221 33 839 21 00";"orangedigitalcenter@orange-sonatel.com";"https://orangedigitalcenter.sn/";"Formations gratuites aux compétences numériques et accompagnement des startups";"Métiers du numérique ; développement ; cloud ; DevOps ; transformation digitale ; gestion de projets numériques";"";"";"";"";"DCIM/centre_20260203095616433.jpg";"Fusion_final";"14.703364474194434";"-17.468998092879353";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"118";"SAMA CHEF";"SAMA CHEF";"1";"1";"MERMOZ-SACRE COEUR";"";"338565909";"contact@samachef.com";"WWW.samachef.com";"1";"Cuisine et Patisserie";"CPS ; CAP ; BEP ; BT";"";"";"";"DCIM/centre_20260203102750659.jpg";"Fusion_final";"14.70132947838668";"-17.46953434664897";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"119";"IAM";"IAM";"";"";"";"";"+221 77 698 39 66 / +221 33 869 36 36";"info@groupeiam.com";"https://groupeiam.com/";"Licence ; Master ; MBA / Executive";"Business administration ; droit des affaires ; informatique de gestion ; marketing et intelligence d'affaires ; banque et ingénierie financière ; management de la qualité ; management du capital humain ; gestion des ressources humaines ; management de projets ; finance";"Licence ; Master ; MBA";"1996";"";"";"DCIM/centre_20260203104448225.jpg";"Fusion_final";"14.70502186460913";"-17.473153169413052";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"12";"Centre de formation professionnelle et technique en hôtellerie et restauration (la Source)";"Centre de formation professionnelle et technique en hôtellerie et restauration (la Source)";"1";"1";"PIKINE OUEST";"";"774447770";"cfptlasource@gmail.com";"";"1";"Restauration,couture,Informatique et Infographie";"CAP ; BT ; BEP ; BTS ; CPS";"";"";"";"DCIM/JPEG_20260114145301429.jpg";"Fusion_final";"14.748111701247677";"-17.39926673221883";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"120";"UniversSanté";"UniversSanté";"1";"1";"MERMOZ-SACRE COEUR";"";"338644185";"Universante.sn@gmail.com";"Www.Universsante.sn";"1";"Infirmier d’état,Sage femme d’état,Assistant infirmier";"BTS ; Attestation";"";"";"";"DCIM/centre_20260203115950474.jpg";"Fusion_final";"14.703198155953732";"-17.46388882260481";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"121";"Batisup";"Batisup";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Fusion_final";"14.70408487462239";"-17.463169680992443";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"122";"Bioforce";"Bioforce";"";"";"";"";"+221 33 824 33 17 / +221 77 767 75 80";"";"https://www.bioforce.org/";"Formations métiers certifiantes ; formations courtes continues dans le secteur humanitaire";"";"";"";"Centre de formation Afrique de Bioforce à Dakar, ouvert depuis 2017 et dédié aux métiers de l'humanitaire.";"";"";"Fusion_final";"14.702666475443731";"-17.460566163937106";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"123";"OO2 Formations Sénégal";"OO2 Formations Sénégal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fusion_final";"14.700968000538273";"-17.46029652269209";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"124";"GOMYCODE";"GOMYCODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fusion_final";"14.696923723514901";"-17.456928363320415";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
"125";"Institut Supérieur de Finance";"Institut Supérieur de Finance";"";"";"";"";"+221 77 567 57 99";"isf.senegal@isfdakar.com";"https://www.isfdakar.com/";"Licence ; Master ; formations spécialisées en finance";"Finance-comptabilité ; finances et comptabilité publiques ; banque-finance-assurance ; méthodes quantitatives ; ingénierie financière ; analyse financière ; fiscalité ; finance durable ; FinTech ; actuariat";"Licence ; Master";"";"";"";"";"Fusion_final";"14.695999126459098";"-17.456257861756832";"2026-09-05T12:00:38.679Z";"2026-09-05T12:00:38.679Z";"geomatquecedt@gmail.com";"geomatquecedt@gmail.com";"publie";"false"
